Unnamed: 0,번호,제목,저자,출판사,출판일
,27,"A Scalable, Modular Framework for Publishing Museum Educational Materials","Gano, S.; Kinzler, R.; Koning, D.; Philippo, M.; Tarr, M.","Archives &amp; Museum Informatics,",2004
,28,Creating Museum Content and Community in Second Life,"Rothfarb, R. J.; Doherty, P.","Toronto:; Archives &amp; Museum Informatics,",2007
,29,Design Patterns for Museum Web Sites,"Discenza, A.;Garzotto, F.",Museum Informatics,1999
,30,"American Air Museum, IWM Duxford, Cambridgeshire Far from bombing, this museum flies the standard high for Oliver Green",unknown,MUSEUMS ASSOC,2016
,31,"Stan Florek, Torres Strait Islander Collections at the Australian Museum","Herle, A.","Museum Ethnographers Group,",2007
,32,"Royal Albert Memorial Museum, Exeter, Devon: The refurbished museum rewards the curious visitor. Peter Mason is impressed",unknown,MUSEUMS ASSOC,2012
,33,"Treasured Textiles: Cloth and Clothing Around the World (Pitt Rivers Museum, University of Oxford)","Wolfe, H.","Museum Ethnographers Group,",2007
,34,Exploring Motivational Factors and Visitor Satisfaction in On-line Museum Visits,"Goldman, K. H.; Schaller, D.","Archives &amp; Museum Informatics,",2004
,35,Weston front: Mansfield Museum curator Liz Weston tells Simon Stephens how changes to Renaissance and local authority cuts are affecting smaller museums around the UK,unknown,MUSEUMS ASSOC,2011
,36,Museum Activities,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1932
,37,"Dust, History, and Politics: Assigning Meanings to Objects at Marischal Museum, 1980-2000","Southwood, H.","Museum Ethnographers Group,",2007
,38,Museum Activities,"ROBINSON, F. B., MILDRED, S., DUDLEY, L. H. & VON ERDBERG, E.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1932
,39,"Bridewell Museum, Norwich: This imaginatively revamped museum has much to admire","Bryan, T.",MUSEUMS ASSOC,2013
,40,"Museum of... The Bill Douglas Cinema Museum, Exeter","Ford, Lynsey",MUSEUMS ASSOC,2021
,41,Applications in Museums,"Perrot, X.",Museum Documentation Association,1993
,42,"High resolution digital image storage at the National Railway Museum, York","Booth, B.;Heap, C.",Museum Documentation Association,1993
,43,"Shrewsbury Museum and Art Gallery, Shropshire : A museum with so much going for it, but Maurice Davies wanted more",unknown,MUSEUMS ASSOC,2014
,44,London Museum of Water &amp; Steam : An industrial museum that has not lost its soul after a makeover,"Green, O.",MUSEUMS ASSOC,2014
,45,Museum and interactive multimedia information service,"Lefftz, M.;Demblon, C.",Museum Documentation Association,1993
,46,Museum 2000: a Multimedia Perspective,"Purcell, P.",British Museum,1994
,47,Cooperative Visits for Museum WWW Sites a Year Later: Evaluating the Effect,"Barbieri, T.;Paolini, P.",Museum Informatics,2000
,48,The holy grail of museum multimedia: Moving beyond the box,"Oker, J.",Museum Documentation Association,1993
,49,History of the museography of the National Sculpture Museum of Valladolid. A reflection on the reciprocal relationship between museums and society or the museum as an instrument of the new social paradigms,"Lamas Álvarez, Victoria Eugenia",Taylor & Francis,2020
,50,"The ""Museum Baby"" Grows Up: Being a Curator of Color in a Monochromatic Art Museum World","Fleming, T.",AMERICAN ASSOCIATION OF MUSEUMS,2005
,51,"Lakeland Motor Museum, Ulverston, Cumbria: A museum that has everything that the motoring enthusiast could want","Bryan, T.",MUSEUMS ASSOC,2010
,52,Telecommunications in museums,"Delouis, D.",Museum Documentation Association,1993
,53,The Impact of Subjective Cultural Issues on the Usability of a Localized Web Site: The Louvre Museum Web Site,"Cleary, Y.",Museum Informatics,2000
,54,"The Best of Intentions: Public Access, the Web & the Evolution of Museum Automation","Donovan, K.",Archives & Museum Informatics,1997
,55,Thinking Critically About Virtual Museums,"Worden, S.",Archives & Museum Informatics,1997
,56,Bridging the Gap between Research and Education: The Future of Network Technology in the Sciences and Science Museums,"Guralnick, R. P.",Archives & Museum Informatics,1997
,57,Building a Virtual Museum Community,"McKenzie, J.",Archives & Museum Informatics,1997
,58,Pricing and Licensing for Museum Digital Content,"Sorkow, J.",Archives & Museum Informatics,1997
,59,"World Rugby Museum, Twickenham David Anderson finds the World Rugby Museum has a dual and conflicted identity",unknown,MUSEUMS ASSOC,2014
,60,The Virtual Library museums pages (VLmp): Whence and Whither?,"Bowen, J.",Archives & Museum Informatics,1997
,61,"Sammy Ofer Wing, National Maritime Museum, London The extension fits in well with the existing museum, but Julia Edge wanted more objects",unknown,MUSEUMS ASSOC,2011
,62,The End of the Mausoleum: Museums in the Age of Electronic Communication,"Witcomb, A.",Archives & Museum Informatics,1997
,63,International The new Dutch National Military Museum combines two museums in one,"Genova,  Alexandra",MUSEUMS ASSOC,2015
,64,Ethnographic treasuries in the computer: Electronic access to a total museum collection,"Wanning, T.",Museum Documentation Association,1993
,65,Re-casting Our Net: Broadening Information Access at the National Maritime Museum,"Ashton, S.;Robertson, S.",Museum Informatics,2000
,66,"A comparison of museum exhibits in three areas: art, sports, and science","Strohecker, C.",Museum Documentation Association,1993
,67,Impact assessment: The MA's Museums 2020 initiative has raised a whole series of questions about how museums and galleries can affect people's lives,"Sharp, R.",MUSEUMS ASSOC,2013
,68,Collaborative Cultural Resource Creation: the example of the Art Museum Image Consortium,"Trant, J.;Bearman, D.;Richmond, K.",Museum Informatics,2000
,69,"Is Bigger Better? Web Delivery of High-Resolution Images from the Museum of Fine Arts, Boston","Daniels, M.",Museum Informatics,2000
,70,Glasgow cuts force museum closures: Trust proposes closing five museums on Mondays,"Stephens, S.",MUSEUMS ASSOC,2010
,71,Meta-centers: Do they work and what might the future hold? A case study of Australian Museums On-line,"Sumption, K.",Museum Informatics,2000
,72,Web Sponsorships: How Museums and Private Companies Can Play Together in a New Playground,"Gaia, G.",Museum Informatics,2000
,73,"Melton Carnegie Museum, Melton Mowbray, Leicestershire This market town museum is so much more than a pile of pork pies","Bryan, T.",MUSEUMS ASSOC,2011
,74,"Ulster Museum, Belfast: A multimillion pound redevelopment of this museum is something Ulster can be proud of","Snoddy, S.",MUSEUMS ASSOC,2010
,75,"Bank of England Museum, London Ben Alsop is impressed by how this museum communicates complex financial issues",unknown,MUSEUMS ASSOC,2014
,76,Architecture for Online Museums of the Future: An Object Server for the Future (ELISE II),"Eyre, J.",Archives & Museum Informatics,1997
,77,The electronic guide at the museum of Dion,"Dessipris, N.",Museum Documentation Association,1993
,78,"Robert Burns Birthplace Museum, Ayrshire There is much to admire in a new museum for Scotland's national poet","Mackay, L.",MUSEUMS ASSOC,2011
,79,"Museum of Liverpool At last - a big, beautiful people's history museum","Green, O.",MUSEUMS ASSOC,2011
,80,"Museum of... The River Tweed Salmon Fishing Museum, Kelso","Gray, Louise",MUSEUMS ASSOC,2020
,81,"Weald and Downland Living Museum, West Sussex Kiki Claxton finds the latest additions to this open-air museum blend in effortlessly",unknown,MUSEUMS ASSOC,2017
,82,"The useful museum Alistair Hudson, director of Middlesbrough Institute of Modern Art, tells Eleanor Mills how museums can work for the greater good",unknown,MUSEUMS ASSOC,2017
,83,"Museum of... Brunel Museum, London",unknown,MUSEUMS ASSOC,2014
,84,Museum of Free Derry This redeveloped museum tells the story of the struggle for civil rights during the Troubles in Northern Ireland,"Jackson,  Matthew",MUSEUMS ASSOC,2017
,85,"Preface, Museums and the Web: a conference, a community, and a challenge","Trant, J.; Bearman, D.",Archives & Museum Informatics,1997
,86,Museums rethink programming in wake of riots; the Paul Hamlyn Library at the British Museum closes; nationals set up trusts to gain access to reserves,unknown,MUSEUMS ASSOC,2011
,87,Making the punishment fit the crime: Integrated interactive systems in the Museum,"Friedlander, L.",Museum Documentation Association,1993
,88,Enabling Technology for Museum Visitors: Issues and Experiences,"Fernstroem, M.; Bannon, L.",Archives & Museum Informatics,1997
,89,"Partners, Profiles, and the Public: Building a Virtual Museum Community","Williams, B.; Thomas, W.",Archives & Museum Informatics,1997
,90,Dynamic Generation of Museum Web Pages: The Intelligent Labelling Explorer,"Hitzeman, J.; Mellish, C.; Oberlander, J.",Archives & Museum Informatics,1997
,91,Museum Notes,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1937
,92,"Museum tours and the origins of museum studies: Edward W. Gifford, William R. Bascom, and the remaking of an anthropology museum","Redman, Samuel J.",Taylor & Francis,2015
,93,Museum Notes,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1949
,94,"Bailiffgate Museum and Gallery, Hans-Christian Anderson admires a fine social history museum that is rooted in its community",unknown,MUSEUMS ASSOC,2014
,95,"The People's History Museum, Manchester: Adventures in political and popular history at this redeveloped museum","Suggitt, M.",MUSEUMS ASSOC,2010
,96,"Universal museums, museum objects and repatriation: The tangled stories of things","Curtis, N.G.W.",London; Elsevier,2006
,97,Maritime Collections at Bristol's City Museum and Art Gallery,"Giles, S.",Museum Ethnographers Group,2008
,98,Going underground Can you create a lively museum from a dying industry? Simon Stephens meets Rowan Brown from the National Mining Museum Scotland and asks about her plans for its future,unknown,MUSEUMS ASSOC,2011
,99,Regenerating Access to the World Cultures Collection at Plymouth City Museum and Art Gallery,"Pitt, F.","Museum Ethnographers Group,",2007
,100,Museum Note,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1937
,1,"Museum of... The DH Lawrence Birthplace Museum, Nottinghamshire",unknown,MUSEUMS ASSOC,2017
,2,"Moomin Museum, Tampere, Finland Cath Pound enters the world of Moominvalley in its new museum setting, and meets the venue's director","Myllyharju,  Taina",MUSEUMS ASSOC,2018
,3,"Thackray Museum of Medicine, Leeds The restorative feel to this redisplay helps cure Jamie Taylor of his aversion to medical museums",unknown,MUSEUMS ASSOC,2021
,4,Interactive multimedia in small museums and archives: A case study,"Looms, P. O.",Museum Documentation Association,1993
,5,Museum Activities,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1932
,6,Museum Notes,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1932
,7,Welsh museums hit by funding crisis: Local authority museums suffer sustained cuts to funding,"Steel, P.",MUSEUMS ASSOC,2008
,8,Building Integrated Museum Information Retrieval Systems: Practical Approaches to Data Organization and Access,"Blackaby, J.; Sandore, B.",Archives & Museum Informatics,1997
,9,National Maritime Museum Cornwall: Falmouth's maritime museum has used its in-house expertise well,"Heal, S.",MUSEUMS ASSOC,2008
,10,Interactive multimedia for museum publishing,"Hoekema, J.",Museum Documentation Association,1993
,11,Museum Notes,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1933
,12,"Holburne Museum, Bath The Holburne Museum has been reinvigorated by its redisplay","Ryan, N.",MUSEUMS ASSOC,2011
,13,Museum Notes,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1934
,14,Museum Notes,"F. B, R.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1933
,15,"A Trader in Central Africa: The Dennett Collection at the Royal Albert Memorial Museum, Exeter","Cadbury, T.",Museum Ethnographers Group,2008
,16,"Developing a Museum Web Presence for Higher Education: the Evaluation of an Online Course at Richmond, The American International University in London","Dickerson, E.;Peacock, S.",Museum Informatics,2000
,17,The Ethnographic Collection at the Cuming Museum,"Hyacinth, B.",Museum Ethnographers Group,2008
,18,"Against Captain's Orders: A Journey into the Uncharted, National Maritime Museum, London Exploring an innovative collaboration between a museum and an immersive theatre company","Perman,  Lucy",MUSEUMS ASSOC,2015
,19,Dynamic hypermedia from a museum database: The Gold of Greece Application,"Dallas, C. J.;Garzotto, F.",Museum Documentation Association,1993
,20,Design and Development of Systems for Museums and Galleries,"Hemsley, J.",Museum Documentation Association,1993
,21,"Rosanna Raymond's Genealogy (2007): Notes on a New Addition to the World Cultures Collection at the Royal Albert Memorial Museum, Exeter (With an Artist's Statement by Rosanna Raymond)","Eccles, T.",Museum Ethnographers Group,2008
,22,Museum of London to merge with Museum in Docklands,"Spivey, J. P.; McCain, W. D.; North, R.",MUSEUMS ASSOC,2004
,23,From histories of museums to museum history: approaches to historicising colonial museums in Aotearoa New Zealand,"McCarthy, Conal",Maney Publishing,2020
,24,"Museum of Innovation, Ulster Transport Museum, Cultra, Belfast","Freeburn, Alan",MUSEUMS ASSOC,2021
,25,"Western Australian Museum Boola Bardip, Perth Chiara Wilkinson says social history is at the core of a people-first revamp of this museum in Perth",unknown,MUSEUMS ASSOC,2021
,26,Museums studies costs to rise: Price hike for museum degrees could lead to less diversity in sector,unknown,MUSEUMS ASSOC,2011
,27,Hubble Space Telescope: A Web Resource for Museums and Planetaria,"Campbell, P.; Christian, C.",Archives & Museum Informatics,1997
,28,Hypermuse: A prototype hypermedia front-end for museum information systems,"Fahy, A.;Poulter, A.;Sargent, G.",Museum Documentation Association,1993
,29,A hypertext for an interactive visit to a science and technology museum,"Signore, O.;Malasoma, S.;Tarchi, R.;Tunno, L.",Museum Documentation Association,1993
,30,"Museum of... Cuckooland Museum, Cheshire","Miller, Victoria",MUSEUMS ASSOC,2021
,31,Cornish museum could sell art Royal Cornwall Museum considers sale of works to raise GBP 3m,"Heywood, F.",MUSEUMS ASSOC,2009
,32,The Germanic Museum Association,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1936
,33,The Germanic Museum Association,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1937
,34,The Classical Organ in the Germanic Museum,"HARRISON, G. D.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1938
,35,The Germanic Museum Association,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1936
,36,Curating Human Remains in Museum Collections: Broader Considerations and a British Museum Perspective,"Antoine, D.",THE BRITISH MUSEUM,2014
,37,The Germanic Museum Library,"LAURA, H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1935
,38,"A Shrine Reunited? The Collaborative, Scientific Study of Two Reliquary Panels from the Walters Art Museum and the British Museum","Gates, G.; La Niece, S.; Drayman-Weisser, T.",THE BRITISH MUSEUM,2014
,39,Modern Art at the Germanic Museum,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1935
,40,Colour Three-dimensional Modelling of Museum Objects,"Baribeau, R.; Godin, G.; Cournoyer, L.; Rioux, M.",British Museum,1994
,41,"The Christ Head at the Metropolitan Museum of Art, New York, the Apse in the Bode Museum, Berlin, and Other Fake Mosaics","Andreescu-Treadgold, I.",THE BRITISH MUSEUM,2013
,42,The Germanic Museum Bulletin,"KUHN, C. L.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1935
,43,"Rome, the Archetypal Museum, and the Louvre, the Negation of Division","Deotte, J.-L.",Athlone P.,1992
,44,Technological Study of the Ciborium from the Collection of National Museums Scotland Appendix: Analysis of the vitreous materials of the National Museums Scotland ciborium,"Troalen, L.; La Niece, S.; Lees, R.; Tate, J.; Rohrs, S.",THE BRITISH MUSEUM,2010
,45,"Analysis Team of Yodo River Research Group (Project Y, Osaka Museum of Natural History) and Mizuhashikake (Lake Biwa Museum) Survey report of regional distributions of chemical component in the Yodo River System","Nakaguchi, Y.; Masuda, H.; Nakajo, T.; Yamanaka, K.; Satoguchi, Y.",OSAKA MUSEUM OF NATURAL HISTORY,2013
,46,"The Chantrey Episode: Art Classification, Museums and the State, c1870-1920","Fyfe, G.",Athlone P.,1992
,47,Busch-Reisinger Museum,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",2000
,48,Harvard University Art Museums Staff 1991-92,"SANDRA, G.","[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1992
,49,Arthur M. Sackler Museum (A Study of the realization process and the formation principles on &lt;Jaemamujeon&gt;),unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",2000
,50,Harvard University Art Museums Staff 1989-90,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1989
,51,Harvard University Art Museums Staff 1988-89,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1988
,52,The Role of the Harvard University Art Museums,"BOK, D.","[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1989
,53,Optimization of Museum Plane Propaganda: A Case Study of the National Taiwan Museum Newsletter,"Lin,  Jia-Wei",NATIONAL TAIWAN MUSEUM,2017
,54,The Fogg Museum Library,"LUCAS, E. L.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1936
,55,The Germanic Museum,"KUHN, C. L.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1936
,56,The Semitic Museum,"PFEIFFER, R. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1936
,57,Harvard University Art Museums Staff 1990-91,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1990
,58,The Harvard University Art Museums as a Catalyst for Teaching and Scholarship,"CUNO, J.","[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1990
,59,Harvard University Art Museums Staff 1992-93,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1993
,60,Catalogue of Sketchbooks and Albums by John Singer Sargent at the Fogg Art Museum,"STEWART, M. ; KERRY, S.","[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1999
,61,Harvard University Art Museums Staff 1996-97,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1998
,62,Harvard University Art Museums Staff 1995-96,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1997
,63,More than Meets the Eye: An Introduction to Technical Examination of Early Netherlandish Paintings at the Fogg Art Museum,"RON, S.","[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1996
,64,Harvard University Art Museums Staff 1994-95,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1996
,65,Harvard University Art Museums Staff 1993-94,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1994
,66,Report of the Director: Research and the Academic Art Museum,"CUNO, J.","[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1993
,67,Fogg Art Museum,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",2000
,68,The Art Museums and Undergraduate Education at Harvard,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1987
,69,Harvard Art Museums Staff 1987-88,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1987
,70,"[Report of the Fogg Art Museum, 1920-21]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1920
,71,"[Report of the Fogg Art Museum, 1908-09]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1908
,72,"[Report of the Fogg Art Museum, 1909-10]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1909
,73,"[Report of the Fogg Art Museum, 1910-11]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1910
,74,"[Report of the Fogg Art Museum, 1911-12]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1911
,75,"[Report of the William Hayes Fogg Art Museum, 1948-49]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1948
,76,"[Report of the Fogg Art Museum, 1912-13]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1912
,77,"Report of the Fogg Art Museum, 1914-15","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1914
,78,"[Report of the Fogg Art Museum, 1915-16]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1915
,79,"[Report of the William Hayes Fogg Art Museum, 1947-48]","POPE, A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1947
,80,"[Report of the Fogg Art Museum, 1916-17]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1916
,81,"[Report of the Fogg Art Museum, 1913-14]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1913
,82,"[Report of the Fogg Art Museum, 1917-18]","POPE, A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1917
,83,"[Report of the William Hayes Fogg Art Museum, 1949-50]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1949
,84,"[Report of the Fogg Art Museum, 1906-07]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1906
,85,"[Report of the William Hayes Fogg Art Museum, 1938-39]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1938
,86,"[Report of the Fogg Art Museum, 1899-1900]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1899
,87,"[Report of the Fogg Art Museum, 1900-01]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1900
,88,"[Report of the Fogg Art Museum, 1901-02]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1901
,89,"[Report of the Fogg Art Museum, 1907-08]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1907
,90,"[Report of the Fogg Art Museum, 1902-03]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1902
,91,"[Report of the Fogg Art Museum, 1904-05]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1904
,92,"[Report of the William Hayes Fogg Art Museum, 1951-52]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1951
,93,"[Report of the Fogg Art Museum, 1905-06]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1905
,94,"[Report of the William Hayes Fogg Art Museum, 1950-51]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1950
,95,"[Report of the Fogg Art Museum, 1903-04]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1903
,96,"[Report of the Fogg Art Museum, 1918-19]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1918
,97,"[Report of the Fogg Art Museum, 1919-20]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1919
,98,"[Report of the William Hayes Fogg Art Museum, 1946-47]","POPE, A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1946
,99,"[Report of the Fogg Art Museum, 1930-31]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1930
,100,"[Report of the Fogg Art Museum, 1931-32]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1931
,1,"[Report of the Fogg Art Museum, 1932-33]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1932
,2,"[Report of the Fogg Art Museum, 1933-34]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1933
,3,"The Fogg Art Museum ""Notes""",unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1931
,4,"[Report of the Fogg Art Museum, 1934-35]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1934
,5,"[Report of the Fogg Art Museum, 1936-37]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1936
,6,"[Report of the William Hayes Fogg Art Museum, 1940-41]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1940
,7,"[Report of the William Hayes Fogg Art Museum, 1937-38]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1937
,8,"[Report of the William Hayes Fogg Art Museum, 1939-40]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1939
,9,"[Report of the Fogg Art Museum, 1935-36]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1935
,10,"[Report of the Fogg Art Museum, 1929-30]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1929
,11,"[Report of the William Hayes Fogg Art Museum, 1941-42]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1941
,12,"[Report of the William Hayes Fogg Art Museum, 1942-43]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1942
,13,"[Report of the William Hayes Fogg Art Museum, 1945-46]","POPE, A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1945
,14,"[Report of the Fogg Art Museum, 1921-22]","FORBES, E. W. & P. J, S.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1921
,15,"[Report of the Fogg Art Museum, 1922-23]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1922
,16,"[Report of the Fogg Art Museum, 1923-24]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1923
,17,"[Report of the Fogg Art Museum, 1924-25]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1924
,18,"[Report of the Fogg Art Museum, 1925-26]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1925
,19,"[Report of the Fogg Art Museum, 1926-27]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1926
,20,"[Report of the Fogg Art Museum, 1927-28]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1927
,21,"[Report of the Fogg Art Museum, 1928-29]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1928
,22,"[Report of the William Hayes Fogg Art Museum, 1944-45]","POPE, A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1944
,23,"[Report of the William Hayes Fogg Art Museum, 1943-44]","FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1943
,24,"[Report of the Fogg Art Museum, 1897-98]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1897
,25,"[Report of the Fogg Art Museum, 1896-97]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1896
,26,"[Report of the Fogg Art Museum, 1898-99]","MOORE, C. H.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1898
,27,Donors to the Art Museums,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",2005
,28,"[Report of the William Hayes Fogg Art Museum, 1968-69]","MONGAN, A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1968
,29,"[Report of the William Hayes Fogg Art Museum, 1967-68]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1967
